sample_id,macrocategory,category,type,subtype,fermented/non-fermented,country,cluster_div,unknown_per
WK007-1-L-48h-01H8_S50,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,DEU,4032,0.89360119
WK057-2-L-08h-04G3_S28,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,NOR,2910,0.725085911
WK016-1-L-48h-02C8_S86,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,3255,0.889400922
WK053-1-L-48h-04E4_S11,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,4268,0.886597938
WK007-2-L-08h-01H9_S51,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,DEU,3855,0.892607004
WK007-2-L-48h-01I1_S52,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,DEU,3239,0.838530411
WK016-2-L-48h-02D1_S88,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,4083,0.89835905
WK043-1-L-48h-03G5_S78,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,4195,0.850536353
WK057-2-L-48h-04G4_S29,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,NOR,4058,0.878018728
WK043-2-L-48h-03G7_S80,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,4337,0.855891169
WK006-1-L-48h-01H4_S46,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,4402,0.879373012
WK007-2-G-48h-01D1_S7,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,DEU,3825,0.894640523
WK052-2-L-48h-04E2_S9,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,1893,0.918647649
WK059-2-L-08h-04H2_S36,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,5379,0.76742889
WK057-1-L-08h-04G1_S26,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,NOR,1984,0.896673387
WK007-1-L-08h-01H7_S49,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,DEU,3741,0.904303662
WK016-2-L-08h-02C9_S87,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,3015,0.900165837
WK052-2-L-08h-04E1_S8,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,1414,0.874115983
WK016-1-L-08h-02C7_S85,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,3073,0.882850635
WK059-1-L-08h-04G9_S34,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,4691,0.72095502
WK006-2-L-48h-01H6_S48,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,4422,0.906829489
WK057-1-L-48h-04G2_S27,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,NOR,3628,0.882579934
WK059-2-G-48h-05H2_S117,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,USA,4533,0.749172733
WK054-1-L-08h-04E7_S14,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,5077,0.756943077
WK069-2-L-48h-05D2_S81,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,HKG,3577,0.661168577
WK046-1-L-08h-03H7_S89,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,2395,0.558663883
WK001T-2-L-04h-05E3_S91,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,2819,0.573962398
WK015-2-G-48h-01D9_S15,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,DEU,3506,0.65259555
WK026-1-L-08h-02H8_S9,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,AUT,3665,0.68622101
WK030-2-L-08h-03A8_S27,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,4679,0.731566574
WK036-2-L-08h-03D5_S51,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3584,0.689732143
WK039-2-L-08h-03E8_S63,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,1959,0.51352731
AF31,food,alcohol,burukutu,fermented_malted_sorghum,F,GHA,3771,0.680721294
GO005_71775,food,dairy,cheese,gorgonzola,F,ITA,5654,0.750619031
WK001-2-G-48h-01C4_S1,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,IRL,4455,0.748821549
WK001T-2-L-00h-05D4_S83,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,2841,0.578317494
WK005-1-L-08h-01G8_S41,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,2135,0.471194379
WK030-1-L-08h-03A6_S25,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,5121,0.755907049
WK036-1-L-48h-03D4_S50,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3501,0.70437018
WK039-2-G-48h-04B6_S115,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,USA,2708,0.618537666
WK045-1-L-08h-03H3_S85,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,4591,0.766935308
WK048-2-G-48h-04C6_S124,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,FRA,3480,0.672126437
WK005-2-G-48h-01C8_S5,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,IRL,2830,0.575618375
WK039-1-L-08h-03E6_S61,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,2254,0.648181012
WK039-2-L-48h-03E9_S64,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,3205,0.702652106
WK041-2-G-48h-04B8_S117,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,SGP,4050,0.702469136
WK066-1-L-48h-05B6_S67,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,COL,2064,0.513081395
WK068-2-L-48h-05C7_S77,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,PHL,2258,0.472099203
Control2_C_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,1488,0.337365591
ERS1807707,food,fermented_beverages,water_kefir,water_kefir_figs,F,BEL,3151,0.706442399
WK001T-1-L-04h-05E2_S90,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,4415,0.700792752
WK032-1-L-48h-03B6_S34,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,IDN,3364,0.689357907
WK066-1-L-08h-05B5_S66,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,COL,1400,0.346428571
WK021-2-G-48h-01E6_S21,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,DEU,4469,0.722756769
WK033-1-L-48h-03C1_S38,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,4564,0.793163891
WK038-1-L-08h-03E2_S57,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,1522,0.344283837
WK066-2-G-48h-05I1_S125,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,COL,2283,0.548839247
WK001T-1-L-16h-05F1_S98,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,4308,0.701949861
WK006-2-G-48h-01C9_S6,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,DEU,3550,0.654084507
WK032-2-L-48h-03B8_S36,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,IDN,3516,0.720705347
WK047-2-L-08h-03I4_S95,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,AUS,3075,0.638699187
WK060-2-L-08h-04H6_S40,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,AUT,4083,0.667646338
Y2D3_B_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,1910,0.330366492
WK005-2-L-08h-01H1_S43,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,2608,0.622699387
WK027-2-L-08h-02I5_S15,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,AUT,3563,0.671344373
WK058-1-L-48h-04G6_S31,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,ZAF,4035,0.709045849
AF40,food,alcohol,burukutu,fermented_malted_sorghum,F,NGA,1804,0.389689579
WK032-1-L-08h-03B5_S33,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,IDN,2674,0.590875093
WK035-1-L-08h-03C8_S45,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,3210,0.641744548
WK048-1-L-48h-03I7_S98,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,5090,0.795088409
WK063-1-L-08h-04I7_S50,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,CAN,2992,0.609959893
WK068-2-L-08h-05C6_S76,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,PHL,2162,0.457446809
AF55,food,alcohol,palm_wine,palm_sap,F,NGA,3060,0.518954248
WK001T-1-L-00h-05D3_S82,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3616,0.657356195
WK004-2-L-08h-01G6_S39,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,DEU,3349,0.728277098
WK024-2-G-48h-01E9_S24,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,DEU,4403,0.725641608
WK060-1-L-48h-04H5_S39,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,AUT,3942,0.659056317
T2D1_A_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,2694,0.525983667
AF64,food,dairy,nunu,fermented_cow_milk,F,NGA,2223,0.547908232
WK044-2-G-48h-04C2_S120,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,MYS,2965,0.640809444
WK046-2-G-48h-04C4_S122,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,SGP,2998,0.633088726
Control2_A_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,1545,0.338511327
T2D3_A_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,2728,0.531891496
T2D3_B_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,2444,0.57405892
WK026-2-L-08h-02I1_S11,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,AUT,4008,0.726297405
WK031-1-L-08h-03B1_S29,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,ESP,3664,0.651746725
WK035-2-L-08h-03D1_S47,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,3167,0.652352384
WK045-1-L-48h-03H4_S86,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,4873,0.791504207
WK045-2-G-48h-04C3_S121,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,MYS,4660,0.73776824
Y2D1_A_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,2646,0.587679516
WK022-2-G-48h-01E7_S22,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,FRA,3278,0.660768761
WK031-1-L-48h-03B2_S30,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,ESP,3434,0.688118812
WK034-2-G-48h-04B1_S110,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,CAN,4868,0.720419063
WK063-1-L-48h-04I8_S51,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,CAN,3747,0.645049373
WK068-1-L-08h-05C4_S74,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,PHL,1820,0.407142857
SRS6087094,food,fermented_beverages,pulque,aguamiel_pulque,F,MEX,1981,0.620898536
WK044-2-L-08h-03H1_S83,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,2905,0.685370052
WK046-1-L-48h-03H8_S90,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,2523,0.574712644
WK058-2-G-48h-05H1_S116,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,ZAF,2725,0.551559633
WK001T-2-L-02h-05D8_S87,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,2813,0.579808034
WK038-2-L-08h-03E4_S59,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,1536,0.34375
WK044-1-L-08h-03G8_S81,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,4060,0.731034483
WK046-2-L-08h-03H9_S91,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,2419,0.512608516
WK067-2-L-08h-05C2_S72,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,1392,0.545258621
Y1D1_B_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,1679,0.365693865
WK045-2-L-08h-03H5_S87,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,4903,0.774831736
WK050-2-G-48h-04D2_S129,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,ITA,4015,0.756662516
WK001T-1-G-00h-05I5_S129,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,IRL,3418,0.663253365
WK005-1-L-48h-01G9_S42,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3361,0.663790539
WK054-2-L-08h-04E9_S16,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,5073,0.729548591
WK024-1-L-08h-02G6_S120,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2488,0.602090032
WK044-1-L-48h-03G9_S82,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,4652,0.777515047
WK044-2-L-48h-03H2_S84,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,MYS,4542,0.793703214
WK051-2-G-48h-04D3_S1,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,FRA,4059,0.726533629
WK064-2-L-08h-05A4_S56,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,5535,0.818247516
Y3D3_A_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,1776,0.322072072
AF32,food,alcohol,pito,frafra_pito_millet,F,GHA,1436,0.332172702
WK001T-1-L-02h-05D7_S86,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3170,0.620820189
WK001T-1-L-08h-05E6_S94,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3938,0.671914678
WK036-1-L-08h-03D3_S49,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3250,0.657846154
WK047-1-L-08h-03I2_S93,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,AUS,3529,0.691980731
WK063-2-L-48h-05A1_S53,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,CAN,4758,0.724884405
AF67,food,alcohol,burukutu,fermented_malted_sorghum,F,NGA,2507,0.489429597
WK035-2-G-48h-04B2_S111,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,SGP,1666,0.395558223
WK036-2-L-48h-03D6_S52,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3256,0.673525799
WK058-2-L-08h-04G7_S32,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,ZAF,4911,0.716758298
WK068-1-L-48h-05C5_S75,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,PHL,2231,0.471089198
WK001T-2-L-16h-05F2_S99,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,IRL,3820,0.670942408
WK026-1-L-48h-02H9_S10,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,AUT,4126,0.698497334
WK030-1-L-48h-03A7_S26,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,4791,0.705906909
WK041-1-L-08h-03F5_S69,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,3424,0.637266355
WK060-2-G-48h-05H3_S118,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,AUT,3170,0.650473186
DRS139335,food,alcohol,grain,chinese_liquor,F,CHN,4404,0.7082198
AF39,food,alcohol,emu,palm_tree,F,NGA,2930,0.502047782
WK031-2-G-48h-04A7_S107,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,ESP,3453,0.670721112
WK031-2-L-08h-03B3_S31,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,ESP,4022,0.685479861
Y3D1_B_shotgun,food,alcohol,wine,chardonnay_grape_must,F,AUS,1600,0.35625
SRS5653152,food,fermented_grains_legumes_and_seeds,sourdough,sourdough_starter,F,USA,1929,0.55624676
WK003-2-G-48h-01C6_S3,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,IRL,3247,0.652910379
WK030-2-G-48h-04A6_S106,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,GBR,4281,0.720392432
