sample_id,category,cluster_div,unknown_per,mag_div
WK007-1-L-48h-01H8_S50,fermented_beverages,4032,0.913194444,6
WK057-2-L-08h-04G3_S28,fermented_beverages,2910,0.741237113,3
WK016-1-L-48h-02C8_S86,fermented_beverages,3255,0.913671275,4
WK053-1-L-48h-04E4_S11,fermented_beverages,4268,0.889878163,6
WK007-2-L-08h-01H9_S51,fermented_beverages,3855,0.907392996,6
WK007-2-L-48h-01I1_S52,fermented_beverages,3239,0.838530411,4
WK016-2-L-48h-02D1_S88,fermented_beverages,4083,0.941219691,6
WK043-1-L-48h-03G5_S78,fermented_beverages,4195,0.851966627,6
WK057-2-L-48h-04G4_S29,fermented_beverages,4058,0.884672252,6
WK043-2-L-48h-03G7_S80,fermented_beverages,4337,0.930136039,7
WK006-1-L-48h-01H4_S46,fermented_beverages,4402,0.97864607,7
WK007-2-G-48h-01D1_S7,fermented_beverages,3825,0.909019608,6
WK052-2-L-48h-04E2_S9,fermented_beverages,1893,0.991019546,3
WK059-2-L-08h-04H2_S36,fermented_beverages,5379,0.79773192,7
WK057-1-L-08h-04G1_S26,fermented_beverages,1984,0.896673387,2
WK007-1-L-08h-01H7_S49,fermented_beverages,3741,0.921144079,6
WK016-2-L-08h-02C9_S87,fermented_beverages,3015,0.928358209,5
WK052-2-L-08h-04E1_S8,fermented_beverages,1414,0.874115983,1
WK016-1-L-08h-02C7_S85,fermented_beverages,3073,0.902700944,4
WK059-1-L-08h-04G9_S34,fermented_beverages,4691,0.733319122,6
WK006-2-L-48h-01H6_S48,fermented_beverages,4422,0.965174129,7
WK057-1-L-48h-04G2_S27,fermented_beverages,3628,0.886438809,5
WK059-2-G-48h-05H2_S117,fermented_beverages,4533,0.784248842,6
WK054-1-L-08h-04E7_S14,fermented_beverages,5077,0.786882017,7
WK069-2-L-48h-05D2_S81,fermented_beverages,3577,0.739446464,7
WK046-1-L-08h-03H7_S89,fermented_beverages,2395,0.558663883,3
WK001T-2-L-04h-05E3_S91,fermented_beverages,2819,0.576090812,3
WK015-2-G-48h-01D9_S15,fermented_beverages,3506,0.654592128,5
WK026-1-L-08h-02H8_S9,fermented_beverages,3665,0.692223738,5
WK030-2-L-08h-03A8_S27,fermented_beverages,4679,0.734558666,6
WK036-2-L-08h-03D5_S51,fermented_beverages,3584,0.706473214,5
WK039-2-L-08h-03E8_S63,fermented_beverages,1959,0.51352731,2
AF31,alcohol,3771,0.735879077,6
GO005_71775,dairy,5654,0.752210824,5
WK001-2-G-48h-01C4_S1,fermented_beverages,4455,0.753535354,6
WK001T-2-L-00h-05D4_S83,fermented_beverages,2841,0.580077438,3
WK005-1-L-08h-01G8_S41,fermented_beverages,2135,0.471194379,2
WK030-1-L-08h-03A6_S25,fermented_beverages,5121,0.761179457,7
WK036-1-L-48h-03D4_S50,fermented_beverages,3501,0.738360468,6
WK039-2-G-48h-04B6_S115,fermented_beverages,2708,0.645864106,3
WK045-1-L-08h-03H3_S85,fermented_beverages,4591,0.810934437,8
WK048-2-G-48h-04C6_S124,fermented_beverages,3480,0.673850575,5
WK005-2-G-48h-01C8_S5,fermented_beverages,2830,0.576678445,3
WK039-1-L-08h-03E6_S61,fermented_beverages,2254,0.648181012,3
WK039-2-L-48h-03E9_S64,fermented_beverages,3205,0.914820593,5
WK041-2-G-48h-04B8_S117,fermented_beverages,4050,0.723209877,7
WK066-1-L-48h-05B6_S67,fermented_beverages,2064,0.513081395,3
WK068-2-L-48h-05C7_S77,fermented_beverages,2258,0.472099203,2
Control2_C_shotgun,alcohol,1488,0.337365591,1
ERS1807707,fermented_beverages,3151,0.709933354,7
WK001T-1-L-04h-05E2_S90,fermented_beverages,4415,0.706228766,7
WK032-1-L-48h-03B6_S34,fermented_beverages,3364,0.691141498,5
WK066-1-L-08h-05B5_S66,fermented_beverages,1400,0.346428571,1
WK021-2-G-48h-01E6_S21,fermented_beverages,4469,0.727455807,6
WK033-1-L-48h-03C1_S38,fermented_beverages,4564,0.8985539,8
WK038-1-L-08h-03E2_S57,fermented_beverages,1522,0.344283837,1
WK066-2-G-48h-05I1_S125,fermented_beverages,2283,0.551905388,4
WK001T-1-L-16h-05F1_S98,fermented_beverages,4308,0.705431755,6
WK006-2-G-48h-01C9_S6,fermented_beverages,3550,0.658028169,4
WK032-2-L-48h-03B8_S36,fermented_beverages,3516,0.798065984,6
WK047-2-L-08h-03I4_S95,fermented_beverages,3075,0.64097561,4
WK060-2-L-08h-04H6_S40,fermented_beverages,4083,0.712711242,6
Y2D3_B_shotgun,alcohol,1910,0.339267016,3
WK005-2-L-08h-01H1_S43,fermented_beverages,2608,0.623466258,4
WK027-2-L-08h-02I5_S15,fermented_beverages,3563,0.674150996,5
WK058-1-L-48h-04G6_S31,fermented_beverages,4035,0.772986369,6
AF40,alcohol,1804,0.389689579,2
WK032-1-L-08h-03B5_S33,fermented_beverages,2674,0.593118923,3
WK035-1-L-08h-03C8_S45,fermented_beverages,3210,0.656697819,3
WK048-1-L-48h-03I7_S98,fermented_beverages,5090,1.010412574,10
WK063-1-L-08h-04I7_S50,fermented_beverages,2992,0.615641711,4
WK068-2-L-08h-05C6_S76,fermented_beverages,2162,0.457446809,2
AF55,alcohol,3060,0.533660131,8
WK001T-1-L-00h-05D3_S82,fermented_beverages,3616,0.659845133,5
WK004-2-L-08h-01G6_S39,fermented_beverages,3349,0.790683786,6
WK024-2-G-48h-01E9_S24,fermented_beverages,4403,0.748807631,7
WK060-1-L-48h-04H5_S39,fermented_beverages,3942,0.662354135,5
T2D1_A_shotgun,alcohol,2694,0.530066815,4
AF64,dairy,2223,0.634278003,6
WK044-2-G-48h-04C2_S120,fermented_beverages,2965,0.66306914,4
WK046-2-G-48h-04C4_S122,fermented_beverages,2998,0.634756504,3
Control2_A_shotgun,alcohol,1545,0.338511327,1
T2D3_A_shotgun,alcohol,2728,0.534090909,3
T2D3_B_shotgun,alcohol,2444,0.576513912,2
WK026-2-L-08h-02I1_S11,fermented_beverages,4008,0.785928144,6
WK031-1-L-08h-03B1_S29,fermented_beverages,3664,0.655021834,5
WK035-2-L-08h-03D1_S47,fermented_beverages,3167,0.666877171,4
WK045-1-L-48h-03H4_S86,fermented_beverages,4873,0.840755182,8
WK045-2-G-48h-04C3_S121,fermented_beverages,4660,0.777896996,7
Y2D1_A_shotgun,alcohol,2646,0.614134543,4
WK022-2-G-48h-01E7_S22,fermented_beverages,3278,0.686089079,4
WK031-1-L-48h-03B2_S30,fermented_beverages,3434,0.695690157,5
WK034-2-G-48h-04B1_S110,fermented_beverages,4868,0.745069844,6
WK063-1-L-48h-04I8_S51,fermented_beverages,3747,0.651988257,5
WK068-1-L-08h-05C4_S74,fermented_beverages,1820,0.407142857,2
SRS6087094,fermented_beverages,1981,0.782433115,7
WK044-2-L-08h-03H1_S83,fermented_beverages,2905,0.709466437,4
WK046-1-L-48h-03H8_S90,fermented_beverages,2523,0.574712644,3
WK058-2-G-48h-05H1_S116,fermented_beverages,2725,0.551559633,3
WK001T-2-L-02h-05D8_S87,fermented_beverages,2813,0.580519019,3
WK038-2-L-08h-03E4_S59,fermented_beverages,1536,0.34375,1
WK044-1-L-08h-03G8_S81,fermented_beverages,4060,0.778325123,6
WK046-2-L-08h-03H9_S91,fermented_beverages,2419,0.512608516,3
WK067-2-L-08h-05C2_S72,fermented_beverages,1392,0.545258621,2
Y1D1_B_shotgun,alcohol,1679,0.371054199,2
WK045-2-L-08h-03H5_S87,fermented_beverages,4903,0.824801142,8
WK050-2-G-48h-04D2_S129,fermented_beverages,4015,0.859028643,7
WK001T-1-G-00h-05I5_S129,fermented_beverages,3418,0.668227033,4
WK005-1-L-48h-01G9_S42,fermented_beverages,3361,0.665278191,4
WK054-2-L-08h-04E9_S16,fermented_beverages,5073,0.754977331,8
WK024-1-L-08h-02G6_S120,fermented_beverages,2488,0.60329582,4
WK044-1-L-48h-03G9_S82,fermented_beverages,4652,0.909071367,8
WK044-2-L-48h-03H2_S84,fermented_beverages,4542,0.926904447,8
WK051-2-G-48h-04D3_S1,fermented_beverages,4059,0.756590293,6
WK064-2-L-08h-05A4_S56,fermented_beverages,5535,0.946522132,10
Y3D3_A_shotgun,alcohol,1776,0.322072072,2
AF32,alcohol,1436,0.332172702,1
WK001T-1-L-02h-05D7_S86,fermented_beverages,3170,0.624921136,4
WK001T-1-L-08h-05E6_S94,fermented_beverages,3938,0.673184358,5
WK036-1-L-08h-03D3_S49,fermented_beverages,3250,0.659384615,4
WK047-1-L-08h-03I2_S93,fermented_beverages,3529,0.718900538,5
