MAG_id,superkingdom,phylum,seq_total,unknown_per
MortensenS_xxxx__WK007-1-L-48h-01H8_S50__bin.2,Eukaryota,Ascomycota,1490,0.882550336
MortensenS_xxxx__WK057-2-L-08h-04G3_S28__bin.5,Eukaryota,Ascomycota,1459,0.877313228
MortensenS_xxxx__WK016-1-L-48h-02C8_S86__bin.7,Eukaryota,Ascomycota,1474,0.882632293
MortensenS_xxxx__WK053-1-L-48h-04E4_S11__bin.7,Eukaryota,Ascomycota,1367,0.882223848
MortensenS_xxxx__WK007-2-L-08h-01H9_S51__bin.8,Eukaryota,Ascomycota,1453,0.880247763
MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1,Eukaryota,Ascomycota,1461,0.880219028
MortensenS_xxxx__WK016-2-L-48h-02D1_S88__bin.8,Eukaryota,Ascomycota,1470,0.881632653
MortensenS_xxxx__WK043-1-L-48h-03G5_S78__bin.8,Eukaryota,Ascomycota,1391,0.876347951
MortensenS_xxxx__WK057-2-L-48h-04G4_S29__bin.1,Eukaryota,Ascomycota,1464,0.880464481
MortensenS_xxxx__WK043-2-L-48h-03G7_S80__bin.7,Eukaryota,Ascomycota,1392,0.887931034
MortensenS_xxxx__WK006-1-L-48h-01H4_S46__bin.2,Eukaryota,Ascomycota,1256,0.873407643
MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin.6,Eukaryota,Ascomycota,1092,0.86996337
MortensenS_xxxx__WK052-2-L-48h-04E2_S9__bin.4,Eukaryota,Ascomycota,972,0.881687243
MortensenS_xxxx__WK059-2-L-08h-04H2_S36__bin.3,Eukaryota,Ascomycota,1443,0.878031878
MortensenS_xxxx__WK057-1-L-08h-04G1_S26__bin.3,Eukaryota,Ascomycota,1453,0.881624226
MortensenS_xxxx__WK007-1-L-08h-01H7_S49__bin.4,Eukaryota,Ascomycota,1427,0.883672039
MortensenS_xxxx__WK016-2-L-08h-02C9_S87__bin.8,Eukaryota,Ascomycota,1101,0.882833787
MortensenS_xxxx__WK052-2-L-08h-04E1_S8__bin.1,Eukaryota,Ascomycota,1423,0.871398454
