MAG_id,superkingdom,phylum,genome_size,cluster_div
MortensenS_xxxx__WK007-1-L-48h-01H8_S50__bin.2,Eukaryota,Ascomycota,10712082,1486
MortensenS_xxxx__WK057-2-L-08h-04G3_S28__bin.5,Eukaryota,Ascomycota,10646194,1452
MortensenS_xxxx__WK016-1-L-48h-02C8_S86__bin.7,Eukaryota,Ascomycota,10720578,1470
MortensenS_xxxx__WK053-1-L-48h-04E4_S11__bin.7,Eukaryota,Ascomycota,10276717,1358
MortensenS_xxxx__WK007-2-L-08h-01H9_S51__bin.8,Eukaryota,Ascomycota,10577713,1448
MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1,Eukaryota,Ascomycota,10627672,1456
MortensenS_xxxx__WK016-2-L-48h-02D1_S88__bin.8,Eukaryota,Ascomycota,10749468,1451
MortensenS_xxxx__WK043-1-L-48h-03G5_S78__bin.8,Eukaryota,Ascomycota,10237094,1387
MortensenS_xxxx__WK057-2-L-48h-04G4_S29__bin.1,Eukaryota,Ascomycota,10716257,1460
MortensenS_xxxx__WK043-2-L-48h-03G7_S80__bin.7,Eukaryota,Ascomycota,10331683,1387
MortensenS_xxxx__WK006-1-L-48h-01H4_S46__bin.2,Eukaryota,Ascomycota,9622128,1249
MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin.6,Eukaryota,Ascomycota,8407929,1090
MortensenS_xxxx__WK052-2-L-48h-04E2_S9__bin.4,Eukaryota,Ascomycota,7741680,966
MortensenS_xxxx__WK059-2-L-08h-04H2_S36__bin.3,Eukaryota,Ascomycota,10378859,1436
MortensenS_xxxx__WK057-1-L-08h-04G1_S26__bin.3,Eukaryota,Ascomycota,10563401,1448
MortensenS_xxxx__WK007-1-L-08h-01H7_S49__bin.4,Eukaryota,Ascomycota,10292970,1423
MortensenS_xxxx__WK016-2-L-08h-02C9_S87__bin.8,Eukaryota,Ascomycota,8139417,1098
MortensenS_xxxx__WK052-2-L-08h-04E1_S8__bin.1,Eukaryota,Ascomycota,10531778,1414
MortensenS_xxxx__WK016-1-L-08h-02C7_S85__bin.3,Eukaryota,Ascomycota,10632290,1447
MortensenS_xxxx__WK059-1-L-08h-04G9_S34__bin.7,Eukaryota,Ascomycota,10470644,1435
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin.1,Eukaryota,Ascomycota,9776578,1317
MortensenS_xxxx__WK057-1-L-48h-04G2_S27__bin.1,Eukaryota,Ascomycota,10697737,1458
MortensenS_xxxx__WK059-2-G-48h-05H2_S117__bin.4,Eukaryota,Ascomycota,6903552,753
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin.9,Eukaryota,Ascomycota,6639830,759
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.1,Eukaryota,Ascomycota,8082305,313
MortensenS_xxxx__WK046-1-L-08h-03H7_S89__bin.6,Eukaryota,Ascomycota,10326744,1457
